name,reference
Ἰούλιον Αὐρήλιον Ζήλου ἀρχιερέως υἱὸν Χαρίδημον,"11.58.13"
Ἰούλιον Αὐρήλιον Ζήλου υἱὸν Χαρίδημον Ζήλου ἔκγονον,"12.35.13"
Ἰούλιον Αὐρήλιον Χαρίδημον,"13.205.2"
Ἰούλιος Αὐρήλιος Χαρίδημος,"12.909.8"
Ἰουλίου Αὐρηλίου Ζήλου ἀρχιερέως υἱοῦ Χαριδήμου Ἰουλιανοῦ,"12.909.1"
Κλαύδιος Αὐρήλιος Ζῆλος,"12.909.2"
Λούκιοι Αὐρήλιοι Ζήνων,"1.168.7"
Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.4"
Μαρ. Αὐρ. Εὔτυχος,"15.313.2"
Μαρ. Αὐρ. Ζήνωνος_Τούρβωνος_Τροφίμου,"15.313.1"
Μαρκον Αὐρήλιον,"2.310.1"
Μᾶρκον Αὐρήλιον ··· Ἀπολλώνιον γ_Ἀνδρωνος,"11.217.2"
Μᾶρκον Αὐρήλιον Ἀρίστωνα πεντάκι_Ἀρτεμι δώρου Με νίππ ου,"12.534.2"
Μᾶρκον Αὐρήλιον Ἄτταλον Ἀρτεμιδώρου πεντάκις_Μενίππου Ἀττάλου,"15.321.5"
Μᾶρκον Αὐρήλιον Γαιτυλικὸν,"12.912.3"
Μᾶρκον Αὐρήλιον Διογένην,"12.644.2"
Μᾶρκον Αὐρήλιον Διογένην,"12.645.1"
Μᾶρκον Αὐρήλιον Διόδωρον Καλλιμήδην,"13.105.ii.1"
Μᾶρκον Αυρήλιον Ζηνᾶν Ζηνᾶ_Διονυσίου,"1.179.15"
Μᾶρκον Αὐρήλιον Κλαύδιον Κτησίαν Διογᾶ_Ἡλιοδώρου,"12.539.4"
Μᾶρκον Αὐρήλιον ··· ···νον Ἀρτέμωνος_Καλλικλέους ἐπίκλην Κωλώτην,"12.639.1"
Μᾶρκον Αὐρήλιον ···ΟΝ Τειμοκλέους_Ἀγαθόποδος_Ἀρτεμιδώρου,"12.215.1"
Μᾶρκον Αὐρήλιον στατωνον,"12.923.2"
Μᾶρκος Αὐρήλιος Ἀντώνιος,"13.305.1"
Μᾶρκος Αὐρήλιος Διογένης γ_Καλλίου_Διογένους_Μενίππου_Ζήνωνος Ὑψικλέους,"15.333.17"
Μᾶρκος Αὐ ρ ήλιος Ἑρμῆς,"14.12.13"
Μᾶρκος Αὐρήλιος Καλ···ς,"11.30.2"
Μᾶρκος Αὐρήλιος Κλάδαιος Φιλήτου_Ἑρμοῦ,"12.631.2"
Μάρκος Αὐρήλιος Κομητις,"2.4.i.1"
Μᾶρκος Αὐρήλιος Μέναν δρος Ἀθηναγόρου_Ἀθηναγόρου τετράκι_Μενάνδρου,"13.151.2"
Μᾶρκος Αὐρήλιος Μενεσθεὺς δ_Ἀπολλωνίου Σκόπας,"8.115.5"
Μᾶρκος Αὐρήλιος Πολυχρόνιος Χαρμίδης,"13.112.1"
Μᾶ ρ κος Φλάουιος Αὐρήλιος,"1.170.a.1"
Μάρκου Αὐρηλείου Ἀδράστου_Δειομήδους τρὶς_Ἀρτεμειδώρου,"8.904.3"
Μάρκου Αὐρηλίου,"1.178.1"
Μάρκου Αὐρηλίου,"2.705.1"
Μάρ κου Αὐρ ηλίου ···,"11.308.1"
Μάρκου Αὐρηλίου,"15.317.2"
Μάρκου Αὐρηλίου Α···,"15.297.1"
Μάρκου Αὐρηλίου Ἀγαθόποδος,"12.805.5"
Μάρκου Αὐρηλίου Ἀγαθόποδος_Ἀγαθόποδος,"12.805.1"
Μάρκου Αὐρηλίου Ἀθηναγόρου_Εὐδάμου τρὶς_Φίλωνος,"13.203.b.2"
Μάρκου Αὐρηλίου Αἰλίου Ἀντωνίου Βενουσείνου Διογένους_Σολωνος,"5.204.ι.25"
Μάρκου Αὐρηλίου Ἀλεξάνδρου_Ἑκαταίου_Διονυσίου_Ζήνωνος τρὶς_Ἑκαταίου Χάρμου,"13.109.a.1"
Μάρκου Αὐρηλιου Ἀντιόχου_εισα ···,"7.15.2"
Μάρκου Αὐρηλίου Ἀντωνίου Νεικομά χου Βλάστου,"12.928.11"
Μάρκου Αὐρηλίου Ἀπολλωνίου,"13.153.ii.22"
Μάρκου Αὐρηλίου ··· Ἀπολλωνίου_Δημητρίου_Ἀπολλωνίου,"13.134.1"
Μάρκου Αὐρηλίου Ἀπολλωνίου υἱοῦ Τιβερίου Κλαυδίου Μενεσθέως,"13.110.1"
Μάρκου Αὐρηλίου Ἀττικοῦ_Ἀττικοῦ_Ὀφελλίου ··· Χριστου,"13.603.3"
··· Μάρκου Αὐρηλίου Γαιτυλι ··· κοῦ,"1.183.8"
Μάρκου Αὐρηλίου Γλύκωνος,"13.406.5"
Μάρκου Αὐρηλίου Διογένους_Διογένους_Καλλίου,"15.333.4"
Μάρκου Αὐρηλίου Διομήδους_Πρείμου_Νεικηφόρου,"12.32.b.2"
Μάρκου Αὐρηλίου Διονυσίου ου Ἀντιόχου_Σωπόλεως,"12.327.1"
Μάρκου Αὐρηλίου Διονυσίου_Ζήνωνος,"12.805.3"
Μάρκου Αὐρηλίου Ἐπινείκου β_Μουσαίου,"13.201.i.a.1"
Μάρκου Αὐρηλίου Ἑρμογένους_Νάρδου,"13.135.1"
Μάρκου Αὐρηλίου Ζηνᾶ υἱοῦ Ζηνᾶ_Διονυσίου_Απολλωνίου,"1.118.2"
Μάρκου Αὐρηλίου Ζηνοβίου Εἰάσονος ἀρχιε ρέως,"12.417.20"
Μάρκου Αὐρηλίου Ζηνοβίου τετράκις_Ζηνοβίου_Ἀρτεμιδώρου Ἐπαφροδείτου,"12.1020.19"
Μάρκου Αὐρηλίου Ζήνωνος_τοῦ Ζήνωνος_Ὀφελίου Χριστοῦ,"13.602.3"
Μάρκου Αὐρηλίου Ζωτικοῦ_Διονυσ τ ί ου,"13.111.1"
Μάρκου Αὐρηλίου Ἰουλιανοῦ_··· Ἰουλιανοῦ ··· υἱοῦ ··· Τίτο ··· Αὐρη ···,"13.143.i.1"
Μάρκου Αὐρηλίου Κάρπου Περείτου,"13.112.2"
Μάρκου Αὐρηλίου Λεοντ ήου Αὐχενίου,"15.345.4"
Μάρκου Αὐρηλίου Μενάνδρου_Ἀγαπωμενοῦ_Φημιδου,"13.137.1"
Μάρκου Αὐρηλίου Μεσσουληίου,"12.522.1"
Μάρκου Αὐρηλίου Νεικηφόρου,"12.32.b.1"
Μάρκου Αὐρηλίου Παπίου_Μελίτωνος,"13.155.4"
Μάρκου Αὐρηλίου ··· Παπίο υ_Παπίου δ_··· Διογέν ους,"12.925.11"
Μάρκου Αὐρηλίου Παπίου_Παπίου δ´_Διογένους,"12.924.11"
Μάρκου Αὐρηλίου Παπίου_Παπίου δ´_Διογένους,"12.926.11"
Μάρκου Αὐρηλίου Πο···,"15.250.1"
Μάρκου Αὐρηλίου Πολυχρονίου,"11.110.12"
Μάρκου Αὐρηλίου Στατιλίου Ἀπολλωνίου_Ἀπολλωνίου_Μενεσθαιος,"13.130.1"
Μάρκου Αὐρηλίου Στεφάνου,"11.512.2"
Μάρ κου Αὐρηλίου Τατιανοῦ_Παπίου_Μενεσθέως_Δεξίππου_Μενίππου,"13.142.1"
Μάρκου Αὐρηλίου ···_Ἀδράστου_Καλλίππου_Πολυδεύκους,"13.404.2"
Μάρκου Αὐρηλίου Φλαουίου Μενιππιανοῦ Γλαυκίππου,"12.317.21"
Μάρκου Αὐρηλίου Χρησίμου_Ἀπολλωνίου,"12.641.13"
Μάρκου Αὐρηλίου Χρησίμου_Ἀπολλωνίου,"12.642.12"
Μάρκῳ Αὐρηλίῳ Ζήνωνι,"11.59.a.2"
Μάρκῳ Αὐρηλίῳ Ζήνωνι ···_Καλλικράτους_Ζήλου_Πολυχρονίου,"12.107.4"
Μάρκῳ Αὐρη ··· λίῳ ··· Μεν ίππῳ,"11.59.b.1"
Μάρκων Αὐρηλίων,"11.54.1"
Μάρκων Αὐρηλίων Κλαυδίων Κάστορος,"12.714.2"
Μα ρ κ– Φλαουι– Αὐρηλι–,"1.148.1"
Μ Αὐρ,"11.512.4"
Μ. Αὐρ. Ζωίλου,"15.329.17"
Μ. Αὐρήλιος Ζωΐλος Ζωίλου_Ζήνωνος,"15.329.12"
Οὐλπίου Κλαυδίου Αὐρηλίου Μενίππου Ἀετ ί ··· ου,"1.158.24"
Οὐλπίω ν ··· Κ ··· λαυδίων Αὐρρ ηλίων Ζηνᾶ Φωσφο ρίου,"1.158.28"
Πόπλιος Αἴλιος Αὐρήλιος,"12.1016.5"
Πόπλιος Αἴλιος Αὐρήλιος Ἀ···,"12.1016.6"
Ποπλίου Αἰλίου Αὐρηλίου,"12.1016.2"
Σεπ Αυρ Φλ Οὐενιδιος Ὑψικλης τετράκι_Ἀρχιμήδους Εὔφρων,"12.712"
Σεπτίμιος Αὐ ρήλιος Φλ άουιος Οὐενίδιος Ὑψικλῆς Εὔφρων,"12.638.3"
Τιβέριον Κλαύδιον Αὐρήλιον Ζῆλον,"14.18"
Τιβέριον Κλαύδιον Αὐρήλιον Τιβερίου Κλαυδίου Καπιτωλείνου ὑὸν Κτησίαν,"12.324.3"
Τιβέριος Κλαύδιος Αὐρήλιος Μουκιανὸς Ἀπολλώνιος Βερονεικιανος,"13.616.7"
Τιβερίου Κλαυδίου Αὐρηλίου Καπετωλείνου,"11.57.15"
Αὐτολύκου,"8.16.1"
Μάρκου Αὐρηλίου Λεοντ ήου Αὐχενίου,"15.345.5"
Ἀφροδισίου,"8.202.1"
Ἀχέου,"13.506.a.1"
Ἀχιλλεία,"12.908.13"
Ἀχιλλείῃ,"12.908.6"
Ἀχιλλείης,"12.908.3"
Αὐρήλιον Ἀχιλλέα,"5.214.i.16"
Ἀχιλλεῖ,"12.908.6"
Ἀχιλλέως Τιβερίου Κλαυδίου Ἀττάλου,"12.908.2"
Ἑορτάσιος Ἀχιλλέως,"11.55.b.31"
Τατιανῆς γυναικὸς Ἀχιλλέως,"12.908.3"
Τιβερίου Κλαυδίου Ἀχιλλέως,"13.303.3"
Τιβερίου Κλαυδίου Ἀχιλλέως υἱοῦ Τολμίδου,"12.524.6"
Ἀχολίου,"11.55.b.22"
Ἀρτέμων Ἀρτέμωνος Βάκχιος,"11.4.9"
Βάκχιον Ποπλίου,"12.403.2"
Ἰουλίῳ Βάλβῳ,"8.33.6"
Λευκίου υἱὸς Ὠφεντείνα Βάλβος,"8.27.6"
Βαλεριανός,"8.608.7"
Βαλεριανὸς ἀρκάριος,"11.55.b.56"
Βαλεριανὸς πενακᾶς,"11.55.b.47"
Βαριανοῖο,"5.214.ii.1"
Βαρίλλαν,"15.245.4"
Βάσσου,"8.19.1"
Βάσσου,"8.20.6"
Βενιαμιν,"11.55.a.i.15"
Αἰλίου Βενουσίνου,"8.255.2"
Βενυσινου,"8.55.26.1"
Μάρκου Αὐρηλίου Αἰλίου Ἀντωνίου Βενουσείνου Διογένους_Σολωνος,"5.204.ι.27"
Βερονικιανὸς,"4.310.i.5"
Τιβέριον Κλαύδιον Ἀπολλώνιον Βερονεικιανὸν Ἀκασσῶνα,"13.152.16"
Τιβέριος Κλαύδιος Αὐρήλιος Μουκιανὸς Ἀπολλώνιος Βερονεικιανος,"13.616.10"
Τιβερίου Κλαυδίου Ἀπολλωνίου Βερονεικιανοῦ,"12.513.8"
Τιβερίου Κλαυδίου Ἀπολλωνίου Βερονεικιανοῦ Ἀκάσσωνος,"13.616.16"
Βίκτορος,"1.505.3"
Λούκιον Ἐγνάτιον Βίκτορα Λολλιανὸν,"11.414.2"
Βικτωρεῖνος,"1.504.ii.1"
Βιτιανὸν,"8.273.4"
Βίτου μονη ···ρωτικου_Πραυλίου_Ἀστερίου,"15.334.2"
Αὐρήλιον Ἀντώνιον Νεικόμαχον Βλάστον,"12.922.6"
Λουκίου Ἀντωνίου Νεικομάχου Βλάστου,"1.175.2"
Μᾶρκον Ἀντώνιον Νεικόμαχον Βλάστον,"12.923.7"
Μάρκου Ἀντωνίου Νεικομάχου Βλάστου,"12.927.15"
Μάρκου Αὐρηλίου Ἀντωνίου Νεικομά χου Βλάστου,"12.928.12"
Νεικόμαχος Βλάστος υἱὸς Λουκίου Ἀντωνίου Νεικομάχου Βλάστου,"1.175.2"
Γάιος Βολούσιος,"8.212.1"
Αὐρήλιος Ἄταλος Βονβει,"14.3.4"
Βραβέως,"12.409.5"
Γαΐα Τατία Χρησστεῖνα,"5.8.1"
Αὐρ ήλιον Γάϊον,"12.931.1"
Γάϊον Ἰούλιον Ἀδράστου,"12.105.4"
Γάϊον Ἰούλιον Ζωΐλον,"5.101.2"
Γάιον Ἰούλιον Ζωίλον,"8.203.2"
Γάιον Ἰούλιον Λογγιανὸν,"12.27.ii.6"
Γάιον Ἰούλιον Λονγιανὸν,"12.27.i.13"
Γάιον Ὁσίδιον Ἰουλιανὸν,"8.38.1.1"
Γάιον Ὁσίδιον Ἰουλιανὸν,"8.39.1"
Γαίον ···ους υἱὸν,"12.613.i.1"
Γάιος Βολούσιος,"8.212.1"
Γάϊος Ἥδιος Γαΐου υἱὸς Κλαυδία̣ Θῶρος,"8.27.8"
Γάϊος Ἥδιος Γαΐου υἱὸς Κλαυδία̣ Θῶρος,"8.27.9"
Γάϊος Ἰούλιος Ζωΐλος,"1.1.11"
Γάϊος Ἰούλιος Ζώιλος,"1.2.1"
Γάϊος Ἰούλιος Ζωΐλος,"1.38.6"
Γάϊος Ἰούλιος Ζωΐλος,"8.1.i.1"
Γάϊος Ἰούλιος Ζωΐλος,"8.5.1"
Γάιος Ἰούλιος υἱὸς Λογγιανὸς,"12.27.iii.6"
Γάϊος Καλουείσιος,"8.27.73"
Γάϊος Καλουείσιος,"8.27.74"
Γάϊος Καλουείσιος,"8.27.83"
Γάϊος Καλουείσιος Γαΐου υἱὸς Καλουείσιος,"8.27.14"
Γάϊος Καλουείσιος Γαΐου υἱὸς Καλουείσιος,"8.27.14"
Γάϊος Μ··· υἱὸς ···μεντείνα,"8.27.7"
Γαιο- Το···,"15.256.2"
Γαΐου,"12.26.c.28"
Γαίου Ἀπολλοδότου,"5.210.i.1"
Γαΐου Ἰουλίου Γαΐου υἱοῦ Φαβία,"12.25.2"
Γαΐου Ἰουλίου Γαΐου υἱοῦ Φαβία,"12.25.3"
Γαΐου Καλουεισίου Γαΐου υἱοῦ,"8.27.1"
Γαΐου Καλουεισίου Γαΐου υἱοῦ,"8.27.1"
Γαΐου_Ἀπολλωνίου_Ἀπολλωνίου,"12.212.3"
Γαΐῳ Ἰουλίῳ Γαΐου,"12.26.c.28"
Γναῖος Σήδιος Γαΐου υἱὸς Κλαυδία ···ν,"8.27.11"
···ς Γαΐου υἱὸς Κλαυδωνειανός,"8.27.6"
Μᾶρκον Αὐρήλιον Γαιτυλικὸν,"12.912.4"
··· Μάρκου Αὐρηλίου Γαιτυλι ··· κοῦ,"1.183.9"
Τίτου Φλαβίου Γαληνοῦ,"13.401.13"
Μάρκου Γαουίου Σκουίλλα Γαλλικανοῦ,"12.27.iii.13"
Γάμου,"11.403.4"
Γάμου,"11.403.8"
Ἐπικτή του_Τειθω νου_Ἑρμογέ νους_Ζήνω νος Γανυμή δους,"1.186.6"
Μάρκου Γαουίου Σκουίλλα Γαλλικανοῦ,"12.27.iii.13"
Γειν Ἀττάλου,"12.602.ii.2"
Γέμελλος,"11.55.b.21"
Ποπλίου Ἰουλίου Γεμινίου Μαρκιανοῦ,"12.921.10"
Γενέθλειος Ἑρμᾶ_Ἀδράστου,"12.507.1"
Γενέθλιον,"13.145.5"
Γενεθλίου,"15.246.2"
Γεοργηίου,"1.33.ii.2"
Γεορ,"1.33.ii.3"
Γεώργιο,"8.57.26.i.3"
Γεώργιος,"1.36.1"
Γεώργιος,"11.67.1"
Μάρκου Αὐρηλίου Φλαουίου Μενιππιανοῦ Γλαυκίππου,"12.317.22"
Γληγόριος Τυχικοῦ,"11.55.b.44"
Γλύκων,"12.1107.4"
Γλύκων,"12.1107.6"
Γλύκων,"12.1107.8"
Γλύκων,"12.1109.5"
Γλύκωνος,"12.524.19"
Γλύκωνος,"12.1107.10"
Γλύκωνος_Γλύκωνος_Λέοντος_Ἑκατόμνονος,"15.245.1"
Γλύκωνος_Λέοντος_Ἑκατόμνονος,"15.245.1"
Ἑρμίαν Ἑρμίου_Φανίου Γλύκωνα,"12.306.i.4"
Ἑρμίου_Ἑρμίου Γλύκωνος,"12.306.ii.5"
Ἑρμίου_Ἑρμίου Γλύκωνος,"12.306.iii.3"
Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.8"
Μάρκου Αὐρηλίου Γλύκωνος,"13.406.6"
Μηνογένην Μηνογένους Γλύκωνα,"15.263.3"
Τιβερίου Ἰουλίου Γλύκωνος,"12.1107.2"
Αὐρηλίαι Γλύπτη,"12.631.4"
Γλύπτη Κλαδαίου,"12.631.5"
Γναῖος Ἀσίννιος Γναίου υἱὸς Ἀρνήσσις,"8.27.7"
Γναῖος Ἀσίννιος Γναίου υἱὸς Ἀρνήσσις,"8.27.7"
Γνάιος Πόλλιος Γνέου Πολλίου Καλλίσστου υἱὸς Ζήνων,"12.412.3"
Γναῖος Πομπήϊος Κοΐντου υἱὸς Ἀρνιήσσις,"8.27.8"
Γναῖος Σήδιος Γαΐου υἱὸς Κλαυδία ···ν,"8.27.11"
Γνέου Πολλίου Καλλίσστου,"12.412.4"
γ ···νιος Γναίου υἱὸς Ἀρνήσσις Ῥοῦφος,"8.27.10"
Γονεὺς Μητροδόρου_Γονέως,"12.19.10"
Γονέως,"12.19.10"
Γοργόνιος Ὀξυχολίου,"11.55.b.31"
Γοργόνιος χαλκοτύπος,"11.55.b.46"
Γορτυνίου_Ἀριστοκλέους,"12.19.1"
Γρύπος Ἀρτεμιδώρου,"8.86.1"
Μολοσσὸν Περείτου_Ἀδράστου_Ἀρτεμιδώρου Γρύπου,"12.528.5"
Περείτου Γρύπου,"4.308.a.6"
Περείτου Γρύπου,"4.308.a.9"
Τίτος Ἀντώνιος Ἀδράστου υἱὸς Κυρείνα Λυσίμαχος Γρύπος,"12.207.4"
Δαμᾷ Ἀγαθόποδος,"12.26.c.22"
Ἀντωνία Δαμοκράτεια,"13.3.2"
Δαμόνικος,"11.55.b.22"
Δαμονικοῦ,"8.501.1"
Δαμοχάριδος,"2.315.5"
Φλ αουίου Δαμοχάριδος,"11.64.2"
Δεξίππου_Μενίππου,"13.142.1"
Δημέου,"15.288.3"
Δημέου_Μενεκράτου,"12.309.3"
Δημέου_Χρησίμου,"15.333.1"
Δημήτριον Πύρρου_Ζήνωνος_Πύρρου_Ζήνω νος Παπίου,"13.5.5"
Δημητρίου,"5.201.1"
Δημητρίου,"7.8.15"
Δημητρίου,"8.21.1"
Δημητρίου,"8.31.4"
Δημητρίου,"12.307.6"
Δημητρίου,"12.416.13"
Δημητρίου,"12.916.2"
Δημητρίου,"12.1205.4"
Δημητρίου,"13.6.26"
Δημητρίου,"13.105.iii.4"
Δημητρίου,"13.201.i.a.3"
Δημητρίου_Ἀντιόχου,"12.21.7"
Δημητρίου_Ἀπολλωνίου,"13.134.2"
Δημητρίου_Λ···_Δημητρίου Διογένης_Διογένους_Μενάνδρου,"12.205.i.5"
··· Δημη τρίου ···_··· Πε ···,"1.160.3"
Δημητρίου_Πύρρου,"12.32.b.6"
Λ···_Δημητρίου Διογένης_Διογένους_Μενάνδρου,"12.205.i.5"
Μητρόδωρον Μητροδώρου Δημήτριον,"13.301.ii.3"
Μητροδώρου_Μητροδώρου Δημητρίου,"13.301.i.6"
Πανκράτου_Δημητρίου,"13.108.5"
Σόλωνα Δημητρίου,"8.27.16"
Σόλων Δημητρίου,"8.25.18"
Τίτου Φλαβίου Δημητρίου ὑοῦ Ἀντωνείνου,"12.1101.13"
Αὐρήλιος Ἀντώνιος Δημοσθένης,"13.140.2"
Δημοφάντου,"11.223.2"
Σ εξστί ου Διαδουμένου,"12.1113.5"
Τιβερίου Κλαυδίου Διαδουμένου,"11.103.2"
Διδύμου,"12.526.19"
Δινομάχου,"5.2.i.3"
Δινομάχου,"5.2.ii.3"
Δινομάχου,"5.2.iii.3"
Δινομάχου,"5.2.iv.3"
Διογᾶ_Ἡλιοδώρου,"12.539.4"
Διογένεια,"13.104.2"
Διογένειαν,"12.513.2"
Διογενείαν,"12.532.7"
Στατιλίας Διογενίης,"15.340.8"
Αἰλίου Κλαυδίου Διογένους,"12.27.iii.15"
Διογενεί···,"9.103.3"
Διογένην,"2.16.b.2"
Διογένην Μενάνδρου_Διογένους,"15.261.3"
Διογένης,"9.25.2"
Διογένης,"11.55.b.18"
Διογένης βουλευτής,"11.55.b.35"
Διογένης Δαμονικοῦ,"8.501.1"
Διογένης Διογένους,"12.1104.12"
Διογένης Διογένους,"12.1104.12"
Διογένης ··· ης Διογένους,"12.310.2"
Διογένης Λέοντος_Ἱέρωνος_Διογένους,"5.3.1"
Διο ··· γένης Λυκίδου_Διο γ ··· ένους,"7.8.12"
Διο ··· γένης Λυκίδου_Διο γ ··· ένους,"7.8.12"
Διογένης Μενάνδρου_Διογένους_Ἀρτεμιδώρου,"4.4.i.1"
Διογένης Μενάνδρου_Διογένους_Ἀρτεμιδώρου,"4.4.i.1"
Διογένης Παμφίλου,"2.507.1"
Διογένης_Διογένους_Μενάνδρου,"12.205.i.6"
Διογένου,"8.236.6"
Διογένους,"5.3.4"
Διογένους,"11.29.3"
Διογένους,"11.412.48"
Διογένους,"12.204.5"
Διογένους,"12.310.3"
Διογένου ς ···,"12.326.19"
Διογένους,"12.705.6"
Διογένους,"12.924.13"
Διογένους,"12.926.13"
Διογένους,"12.1104.12"
Διογένους,"13.104.4"
Διογένους,"13.105.i.4"
Διογένους,"13.153.ii.25"
Διογένους,"13.604.1"
Διογένους,"13.605.1"
Διογένους,"13.614.2"
Διογένους,"15.261.4"
Διογένους Δομετείνου,"13.604.2"
Διογένους Δομετείνου,"13.604.19"
Διογένους Ζήνωνος,"15.1.4"
Διογένους_Ἀπολλωνίου Καλλιμήδους,"13.105.iii.11"
Διογένους_Ἀπολλωνίου_Τιμοκλέους,"15.246.14"
Διογένους_Δημητρίου,"13.105.iii.4"
Διογένους τ ··· οῦ Ζήνωνος,"12.515.3"
Διογένους_Καλλίου,"15.333.4"
Διογένους_Λυκίδου,"7.8.5"
Διογένους_Μαργάρου,"15.208.5"
Διογένους_Μενάνδρου,"12.205.i.6"
Διογένους_Μενίππου_Ζήνωνος,"15.333.19"
Διογένους_Σολωνος,"5.204.ι.27"
Διογένους υἱοῦ Τίτου Κλαυδίου Ἑρμείου Δομετείνου,"13.3.8"
Διογένου_Εὐκλέους_Διογένου,"8.236.5"
Εὔμαχος Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου Διογεγένης Φιλόκαισαρ,"1.6.3"
Εὔμαχος Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου Διογένης Φιλόκαισαρ,"1.4.3"
Εὔμαχος Ἀθηναγόρου_Ἀθηναγόρου_Εὐμάχου Διογένης Φιλόκαισαρ,"1.5.3"
Εὐσαββάθιος Διογένους,"11.55.b.18"
Ἡφαιστίων Διογένους,"11.15.4"
Ἱεροκλέα Κάρπου Διογένην,"12.211.5"
Καλλικράτης Διογένους,"12.719.8"
Κλαυδίου Διογένους,"11.45.4"
Κλαυδίου Διογένους μηνὸς Γορπιαίου,"11.29.10"
Κλαυδίων Διογένους,"12.323.7"
Κλ. Διογένους,"2.13.a.11"
Λούκιον Ἀντώνιον Κλαύδιον Δομετεῖνον Διογένην,"2.17.4"
Λου κίου Ἀντωνίου Δομε τείνου Διογένους,"1.171.a.25"
Λουκίου Ἀντωνίου Κλαυδίου Διογένους Δομετείνου,"13.156.7"
Λ ου ··· κίου Ἀντωνίου Κλαυδίου Δομετείνου Διογένους,"12.520.4"
Λ ουκίου Κλαυδίου Διογένου Δομετείνου,"13.206.19"
Μᾶρκον Αὐρήλιον Διογένην,"12.644.3"
Μᾶρκον Αὐρήλιον Διογένην,"12.645.2"
Μᾶρκος Αὐρήλιος Διογένης γ_Καλλίου_Διογένους_Μενίππου_Ζήνωνος Ὑψικλέους,"15.333.17"
Μάρκου Αὐρηλίου Διογένους_Διογένους_Καλλίου,"15.333.4"
Παπίου δ_··· Διογέν ους,"12.925.13"
Σέξστος Φλάβιος Σέξστου Φλαβίου υἱὸς Ἰουλιανὸς Διογένης,"13.401.11"
Σέξστου Φλαβίου Ἰουλιανοῦ Διογένους,"13.401.4"
Τατίαν Διογένους_Διογένους_Δημητρίου Φιλήμονος,"13.105.iii.3"
···τεινον Διογένην,"12.416.2"
Τιβέριον Κλαύδιον Ἀντώνιον Διογένην Ἀμμιανὸν υἱὸν Τιβερίου Κλαυδίου Ἀντωνίου Δομετι νοῦ Ἑρμίου,"12.1019.3"
Τιβέριον Κλαύδιον Διογένην,"8.23.1"
Τιβέριον Κλαύδιον Τιβερίου Κλαυδίου Ἀττάλου υἱὸν Διογένην,"11.15.3"
Τιβέριος Κλαύδιος Διογένης,"9.25.1"
Τι β εριου Κλαυδίου Διογένους,"11.42.4"
Φλαουίου Δι ··· ογένο υς Ὑψήλου,"1.187.15"
Ἀκτίου Διογενιανοῦ,"11.32.6"
Διογενιανοῦ,"13.106.5"
Τίτου Φλαβίου Ἀρίστωνος Διογενιανοῦ,"1.130.5"
Διοδόρου,"12.26.c.5"
Διόδωρον,"1.157.3"
Διόδωρον Διοδώρου,"12.29.iii.5"
Διοδώρου,"4.116.2"
Διοδώρου,"12.26.c.6"
Διοδώρου,"12.26.c.22"
Διοδώρου,"12.29.ii.3"
Διοδώρου,"12.29.ii.3"
Διοδώρου,"12.29.iii.5"
··· Διοδώρου Μολοσσὸν,"12.1002..i.1"
Διοδώρῳ Μουσαίου,"12.26.c.10"
Διοδώρῳ Μουσαίου_Διοδόρου,"12.26.c.4"
Διοδώρῳ Μουσαίου_Διοδώρου,"12.26.c.6"
Διοδώρῳ Μουσαίου_Διοδώρου,"12.26.c.21"
Μᾶρκον Αὐρήλιον Διόδωρον Καλλιμήδην,"13.105.ii.2"
Διομήδης,"12.32.a.2"
Μάρκου Αὐρηλείου Ἀδράστου_Δειομήδους τρὶς_Ἀρτεμειδώρου,"8.904.5"
Μάρκου Αὐρηλίου Διομήδους_Πρείμου_Νεικηφόρου,"12.32.b.2"
Αὐρ ηλίας Διονυσίας,"15.5.2"
Διονυσία,"12.32.a.3"
Διονυσίδου,"12.704.c.22"
Ἀμμιὰς Διονυσίου φύσι δὲ Ἀδράστου_Μόλωνος Ὀλυνπιὰς,"1.5.5"
Αὐρήλιος Διονύσιος ἑξάκι_Χρυσογόνου ὁ Τατίας_Παπίου υἱὸς,"12.524.4"
Διονυσι···,"11.104.iii.4"
Διονύσιον,"2.503.33"
Διονύσιον Ἀρτεμιδώρο υ ···_Μενίππου το ῦ ··· Διονυσίου_Δημητρίου,"12.307.3"
Διο ··· νύσιον ··· ··· υ ···_··· Τα ··· ···_··· Δημη τρίου ···_··· Πε ···,"1.160.1"
Διονύσιος,"11.3.1"
Διονύσιος,"11.59.c.10"
Διονύσιος,"12.917.2"
Διονύσιος,"12.917.5"
Διονύσιος,"13.615.3"
Διονύσιος Ἀδράστου_Διονυσίου,"12.404.ii.1"
Διονύσιος Διονυσίου,"15.317.1"
Διονύσιος Μήνιδος,"8.2.b.i.5"
Διονύσιος Παπύλου_Παπύλου,"12.612.2"
Διονύσιος Παπύλου_Παπύλου Διονυσ ιου,"11.104.i.1"
